"Departure Time","Route","Driver","Vehicle","Status"
"08:00:00","มก. กำแพงแสน -> มก. บางเขน","สมชาย ขับดี","10-1001 กทม","AVAILABLE"
"09:00:00","มก. กำแพงแสน -> มก. บางเขน","สมชาย ขับดี","10-1001 กทม","AVAILABLE"
"10:00:00","มก. กำแพงแสน -> มก. บางเขน","สมชาย ขับดี","10-1001 กทม","AVAILABLE"
"11:00:00","มก. กำแพงแสน -> มก. บางเขน","สมชาย ขับดี","10-1001 กทม","AVAILABLE"
"12:00:00","มก. กำแพงแสน -> มก. บางเขน","สมชาย ขับดี","10-1001 กทม","AVAILABLE"
"13:00:00","มก. กำแพงแสน -> มก. บางเขน","สมชาย ขับดี","10-1001 กทม","AVAILABLE"
"14:00:00","มก. กำแพงแสน -> มก. บางเขน","สมชาย ขับดี","10-1001 กทม","AVAILABLE"
"15:00:00","มก. กำแพงแสน -> มก. บางเขน","สมชาย ขับดี","10-1001 กทม","AVAILABLE"
"16:00:00","มก. กำแพงแสน -> มก. บางเขน","สมชาย ขับดี","10-1001 กทม","AVAILABLE"
"17:00:00","มก. กำแพงแสน -> มก. บางเขน","สมชาย ขับดี","10-1001 กทม","AVAILABLE"
"18:00:00","มก. กำแพงแสน -> มก. บางเขน","สมชาย ขับดี","10-1001 กทม","AVAILABLE"
"08:00:00","มก. กำแพงแสน -> องค์พระปฐมเจดีย์","สมศักดิ์ วิ่งไว","10-1002 กทม","AVAILABLE"
"09:00:00","มก. กำแพงแสน -> องค์พระปฐมเจดีย์","สมศักดิ์ วิ่งไว","10-1002 กทม","AVAILABLE"
"08:00:00","บางเขน -> มก. กำแพงแสน","มานิต มิตรดี","10-1005 กทม","AVAILABLE"
... และอื่นๆ ตามที่ระบุใน SQL
